Statistical profiling result from ./isolate-0x102801e00-v8.log, (766 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  T v8::internal::FrameArray::AppendJSFrame(v8::internal::Handle<v8::internal::FrameArray>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Handle<v8::internal::AbstractCode>, int, int)
      1    0.1%    0.1%  T v8::internal::FeedbackVector::New(v8::internal::Isolate*, v8::internal::Handle<v8::internal::SharedFunctionInfo>)
      1    0.1%    0.1%  T v8::internal::FeedbackNexus::FindHandlers(std::__1::vector<v8::internal::Handle<v8::internal::Object>, std::__1::allocator<v8::internal::Handle<v8::internal::Object> > >*, int) const
      1    0.1%    0.1%  T v8::internal::Factory::NewOneByteInternalizedSubString(v8::internal::Handle<v8::internal::SeqOneByteString>, int, int, unsigned int)
      1    0.1%    0.1%  T v8::internal::Deserializer<v8::internal::DefaultDeserializerAllocator>::ReadData(v8::internal::Object**, v8::internal::Object**, int, unsigned char*)
      1    0.1%    0.1%  T v8::internal::DefaultDeserializerAllocator::GetObject(v8::internal::AllocationSpace, unsigned int, unsigned int)
      1    0.1%    0.1%  T v8::internal::DeclarationScope::DeclareParameter(v8::internal::AstRawString const*, v8::internal::VariableMode, bool, bool, bool*, v8::internal::AstValueFactory*, int)
      1    0.1%    0.1%  T v8::internal::ChoiceNode::Emit(v8::internal::RegExpCompiler*, v8::internal::Trace*)
      1    0.1%    0.1%  T v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      1    0.1%    0.1%  T v8::internal::Builtins::builtin_handle(int)
      1    0.1%    0.1%  T v8::internal::BuiltinDeserializer::ExtractCodeObjectSize(int)
      1    0.1%    0.1%  T v8::internal::Bitmap::Clear()
      1    0.1%    0.1%  T v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      1    0.1%    0.1%  T v8::internal::Assembler::call(v8::internal::Label*)
      1    0.1%    0.1%  T v8::internal::Assembler::Assembler(v8::internal::AssemblerBase::IsolateData, void*, int)
      1    0.1%    0.1%  T v8::internal::Accessors::FunctionLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  T v8::base::Time::ToJsTime() const
      1    0.1%    0.1%  T v8::ArrayBufferView::Buffer()
      1    0.1%    0.1%  T std::__1::basic_istream<wchar_t, std::__1::char_traits<wchar_t> >::tellg()
      1    0.1%    0.1%  T node::tracing::TraceEventHelper::GetTracingController()
      1    0.1%    0.1%  T _uv_hrtime
      1    0.1%    0.1%  T _sscanf
      1    0.1%    0.1%  T _mlockall
      1    0.1%    0.1%  T _getpeername
      1    0.1%    0.1%  T _fmodf$fenv_access_off
      1    0.1%    0.1%  T ___fread
      1    0.1%    0.1%  T _CRYPTO_atomic_add

 [Summary]:
   ticks  total  nonlib   name
    175   22.8%   23.1%  JavaScript
    578   75.5%   76.2%  C++
     21    2.7%    2.8%  GC
      7    0.9%          Shared libraries
      6    0.8%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    291   53.3%   38.0%  T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     54    9.9%    7.0%  T v8::ArrayBuffer::GetContents()
     43    7.9%    5.6%  T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
     25    4.6%    3.3%  t _internal_catch_exception_raise_state_identity
     17    3.1%    2.2%  t _uv__hrtime
     14    2.6%    1.8%  t node::Hrtime(v8::FunctionCallbackInfo<v8::Value> const&)
     10    1.8%    1.3%  T v8::internal::Builtin_JsonParse(int, v8::internal::Object**, v8::internal::Isolate*)
      7    1.3%    0.9%  T v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      7    1.3%    0.9%  T v8::internal::Runtime_CompileOptimized_Concurrent(int, v8::internal::Object**, v8::internal::Isolate*)
      7    1.3%    0.9%  T v8::internal::JSTypedArray::GetBuffer()
      5    0.9%    0.7%  T v8::internal::Builtin_ObjectDefineProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.7%    0.5%  T v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
